Unnamed: 0,atletas.posicao_id,atletas.apelido,atletas.variacao_num,atletas.preco_num,atletas.rodada_id,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.clube.id.full.name,atletas.status_id,atletas.entrou_em_campo,atletas.slug,atletas.atleta_id,atletas.apelido_abreviado,atletas.clube_id,atletas.foto,atletas.pontos_num,CA,DS,FC,FF,FS,G,I,FD,SG,A,PS,FT,V,CV,DE,DP,GS,PC,PP,GC,posicao_nome,ranking_rodada,percentil_pontuacao,classificacao_desempenho,destaque_rodada
495,2,Kaiki Bruno,-0.7,10.82,23,21,7.81,Kaiki Bruno da Silva,CRU,7,True,kaiki-bruno,112709,K. Bruno,283,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,7.2,6.0,59.0,42.0,11.0,26.0,,,6.0,10.0,3.0,,,,,,,,,,,Lateral,54,84.23,Bom,False
496,5,Ramón Sosa,-0.33,5.58,23,9,1.82,Ramón Sosa Acosta,PAL,6,True,ramon-sosa,112863,R. Sosa,275,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,0.0,,,3.0,4.0,4.0,,1.0,1.0,,2.0,1.0,,,,,,,,,,Atacante,278,13.99,Regular,False
497,4,Aníbal Moreno,0.39,5.27,23,16,2.77,Aníbal Ismael Moreno,PAL,7,True,anibal-moreno,112869,A. Moreno,275,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,6.0,3.0,29.0,12.0,5.0,4.0,,,1.0,,,,,,,,,,,,,Meia,68,79.91,Bom,False
498,5,Lucas Barbosa,1.5,8.62,23,20,4.42,Lucas Henrique Barbosa,RBB,7,True,lucas-barbosa,112886,L. Barbosa,280,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,10.3,4.0,33.0,37.0,15.0,23.0,1.0,6.0,11.0,,2.0,,1.0,,1.0,,,,,,,Atacante,22,93.6,Muito Bom,True
499,4,Sforza,0.0,4.54,23,2,0.85,Juan Sebastián Sforza,JUV,6,False,sforza,112906,Sforza,286,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
500,3,Freytes,0.0,4.43,23,18,2.57,Juan Pablo Freytes,FLU,6,False,freytes,113034,Freytes,266,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,0.0,3.0,11.0,10.0,9.0,8.0,,1.0,3.0,4.0,,1.0,1.0,,1.0,,,,,,,Zagueiro,0,0.0,Não Jogou,False
501,2,Mancuso,0.83,8.53,23,13,4.46,Eros Nazareno Mancuso,FOR,7,True,mancuso,113078,Mancuso,356,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,11.4,2.0,20.0,11.0,5.0,14.0,,1.0,2.0,3.0,1.0,,,,,,,,,,,Lateral,15,95.83,Muito Bom,True
502,5,Flaco López,0.02,9.56,23,19,5.87,José Manuel Alberto López,PAL,7,True,flaco-lopez,113103,F. López,275,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,4.5,3.0,20.0,27.0,23.0,33.0,6.0,6.0,7.0,,,2.0,,,,,,,,,,Atacante,108,66.96,Regular,False
503,2,Nathan Mendes,-0.32,4.65,23,11,2.49,Nathan Gabriel de Souza Mendes,RBB,7,True,nathan-mendes,113157,N. Mendes,280,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,1.9,2.0,9.0,6.0,1.0,12.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,Lateral,199,40.33,Regular,False
504,5,Marquinhos,0.0,3.69,23,14,1.37,Marcus Vinícius Oliveira Alencar,CRU,6,False,marquinhos,113158,Marquinhos,283,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,0.0,1.0,7.0,4.0,6.0,7.0,,,2.0,,,,,,,,,,,,,Atacante,0,0.0,Não Jogou,False
505,4,Pablo Maia,0.8,5.21,23,14,2.02,Pablo Gonçalves Maia Fortunato,SAO,7,True,pablo-maia,113359,P. Maia,276,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,5.5,2.0,12.0,15.0,1.0,12.0,1.0,,,,,,1.0,,,,,,1.0,,,Meia,81,75.6,Bom,False
506,5,Cristian Olivera,-0.14,9.01,23,15,5.05,Cristian Gonzalo Olivera Ibarra,GRE,7,True,cristian-olivera,113397,C. Olivera,284,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,2.8,2.0,23.0,19.0,8.0,21.0,3.0,3.0,7.0,,,,,,,,,,,,,Atacante,156,53.27,Regular,False
507,1,Diógenes,1.3,3.3,23,1,3.9,Diógenes Vinícius da Silva,SAN,2,True,diogenes,113690,Diógenes,277,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,3.9,,,,,,,,,,,,,,,3.0,,,,,,Goleiro,126,62.35,Regular,False
508,3,Gamarra,0.0,4.83,23,2,2.35,Mateo Gamarra González,CRU,6,False,gamarra,114334,Gamarra,283,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,0.0,,4.0,1.0,,,,,,,,,,,,,,,1.0,,,Zagueiro,0,0.0,Não Jogou,False
509,5,Sinisterra,2.33,9.52,23,2,5.5,Luis Fernando Sinisterra Lucumí,CRU,6,True,sinisterra,114405,Sinisterra,283,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,11.0,,2.0,,,,1.0,,,,,,,,,,,,,,,Atacante,17,95.09,Muito Bom,True
510,3,Cleiton,0.0,4.72,23,1,5.0,Cleiton Santana dos Santos,FLA,6,False,cleiton,114790,Cleiton,262,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,0.0,,,,,,,,,1.0,,,,,,,,,,,,Zagueiro,0,0.0,Não Jogou,False
511,5,Vitor Roque,2.09,14.79,23,20,7.43,Vitor Hugo Roque Ferreira,PAL,7,True,vitor-roque,114802,V. Roque,275,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,25.9,2.0,22.0,22.0,11.0,44.0,8.0,11.0,13.0,,3.0,,,,,,,,,,,Atacante,1,100.0,Excelente,True
512,5,Matheus França,0.0,8.55,23,1,1.2,Matheus França de Oliveira,VAS,6,False,matheus-franca,115100,M. França,267,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0.0,,,,,,,,1.0,,,,,,,,,,,,,Atacante,0,0.0,Não Jogou,False
513,3,Lucas Freitas,-0.39,3.75,23,16,2.24,Lucas de Freitas Molarinho Chagas,VAS,3,True,lucas-freitas,115141,L. Freitas,267,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,-1.3,2.0,11.0,13.0,3.0,10.0,1.0,,,2.0,,1.0,,,,,,,1.0,,,Zagueiro,332,1.49,Ruim,False
514,4,Jhon Jhon,-0.34,7.83,23,21,4.69,Jhonatan dos Santos Rosa,RBB,7,True,jhon-jhon,115248,J. Jhon,280,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,4.7,4.0,16.0,17.0,9.0,37.0,4.0,2.0,7.0,,3.0,,1.0,,,,,,,,,Meia,100,70.09,Regular,False
515,3,Marcos Victor,-0.28,4.84,23,4,3.45,Marcos Victor Ferreira da Silva,CEA,7,True,marcos-victor,115537,M. Victor,354,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,1.4,,5.0,3.0,1.0,3.0,,1.0,,1.0,,,,,,,,,,,,Zagueiro,227,32.14,Regular,False
516,4,Rodriguinho,-1.1,1.58,23,4,-0.65,Rodrigo Henrique Santos de Souza,CEA,3,True,rodriguinho,115563,Rodriguinho,354,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,-2.8,,,3.0,1.0,1.0,,,,,,,,,1.0,,,,,,,Meia,336,0.3,Ruim,False
517,5,Emerson Galego,0.0,3.01,23,2,1.25,Emerson Mendes de Carvalho,JUV,6,False,emerson-galego,115586,E. Galego,286,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0.0,,1.0,,,2.0,,,,,,,,,,,,,,,,Atacante,0,0.0,Não Jogou,False
