Unnamed: 0,atletas.foto,atletas.clube.id.full.name,atletas.variacao_num,atletas.rodada_id,atletas.entrou_em_campo,atletas.pontos_num,atletas.slug,atletas.apelido_abreviado,atletas.posicao_id,atletas.nome,atletas.apelido,atletas.atleta_id,atletas.clube_id,atletas.status_id,atletas.preco_num,atletas.media_num,atletas.jogos_num,DE,GS,A,CA,DS,FC,FD,FF,FS,FT,G,I,PS,SG,V,CV,DP,PP,PC,GC,posicao_nome,ranking_rodada,percentil_pontuacao,classificacao_desempenho,destaque_rodada
678,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,FLA,0.0,28,False,0.0,joao-victor,J. Victor,3,João Victor de Souza Cunha,João Victor,140492,262,6,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Zagueiro,0,0.0,Não Jogou,False
679,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,FLA,0.0,28,False,0.0,joao-alves,J. Alves,4,João Victor Alves Ferreira,João Alves,140494,262,6,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
680,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,SAO,0.0,28,False,0.0,ryan-francisco,R. Francisco,5,Ryan Francisco Rodrigues dos Santos Silva,Ryan Francisco,140542,276,5,3.62,2.69,7,,,,,,4.0,,2.0,5.0,,2.0,1.0,,,,,,,,,Atacante,0,0.0,Não Jogou,False
681,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,BAH,0.0,28,False,0.0,david-martins,D. Martins,4,David Martins Almeida de Lira,David Martins,140726,265,6,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
682,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,RBB,0.0,28,False,0.0,davi-gomes,D. Gomes,5,Davi Gomes de Alvarenga,Davi Gomes,140906,280,6,2.93,3.3,4,,,,,1.0,2.0,1.0,2.0,3.0,,1.0,,,,,,,,,,Atacante,0,0.0,Não Jogou,False
683,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,MIR,0.0,28,False,0.0,bruno-bertinato,B. Bertinato,1,Bruno Oliveira Bertinato,Bruno Bertinato,140908,2305,6,2.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Goleiro,0,0.0,Não Jogou,False
684,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,0.0,28,False,0.0,kaio-borges,K. Borges,2,Kaio Borges Correa,Kaio Borges,141039,266,6,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Lateral,0,0.0,Não Jogou,False
685,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,0.0,28,False,0.0,davi-schuindt,D. Schuindt,3,Davi Duarte Schuindt,Davi Schuindt,141040,266,6,1.24,0.7,2,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,Zagueiro,0,0.0,Não Jogou,False
686,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,BOT,0.0,28,False,0.0,kaua-branco,K. Branco,3,Kauã Oliveira Branco,Kauã Branco,141084,263,6,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Zagueiro,0,0.0,Não Jogou,False
687,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,CAM,0.0,28,False,0.0,robert,Robert,1,Robert Pinto Alves Assunção,Robert,141125,282,6,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,Goleiro,0,0.0,Não Jogou,False
