Unnamed: 0,atletas.rodada_id,atletas.foto,atletas.status_id,atletas.pontos_num,atletas.variacao_num,atletas.media_num,atletas.slug,atletas.apelido,atletas.atleta_id,atletas.nome,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.jogos_num,atletas.clube_id,atletas.posicao_id,atletas.preco_num,atletas.minimo_para_valorizar,atletas.apelido_abreviado,posicao_nome,ranking_rodada,percentil_pontuacao,classificacao_desempenho,destaque_rodada
221,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,6,0,0,0,rafael-ramos,Rafael Ramos,93236,Rafael António Figueiredo Ramos,CEA,False,0,354,2,4,,R. Ramos,Lateral,0,0.0,Não Jogou,False
222,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,6,0,0,0,joao-basso,João Basso,93372,João Othávio Basso,SAN,False,0,277,3,5,,J. Basso,Zagueiro,0,0.0,Não Jogou,False
223,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,7,0,0,0,wanderson,Wanderson,93478,Wanderson Maciel Sousa Campos,CRU,False,0,283,5,8,,Wanderson,Atacante,0,0.0,Não Jogou,False
224,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,6,0,0,0,bruno-tubarao,Bruno Tubarão,93637,Bruno Nunes de Barros,CEA,False,0,354,2,4,,B. Tubarão,Lateral,0,0.0,Não Jogou,False
225,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,7,0,0,0,paulo-henrique,Paulo Henrique,93716,Paulo Henrique de Oliveira Alves,VAS,False,0,267,2,7,,P. Henrique,Lateral,0,0.0,Não Jogou,False
226,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,7,0,0,0,marlon-freitas,Marlon Freitas,93790,Marlon Rodrigues Freitas,BOT,False,0,263,4,10,,M. Freitas,Meia,0,0.0,Não Jogou,False
227,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,6,0,0,0,keiller,Keiller,93834,Keiller da Silva Nunes,CEA,False,0,354,1,3,,Keiller,Goleiro,0,0.0,Não Jogou,False
228,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,7,0,0,0,marcao,Marcão,93879,Marcos Venicius Santos Miranda - Vinícius,JUV,False,0,286,1,2,,Marcão,Goleiro,0,0.0,Não Jogou,False
229,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,7,0,0,0,cleiton,Cleiton,93882,Cleiton Schwengber,RBB,False,0,280,1,6,,Cleiton,Goleiro,0,0.0,Não Jogou,False
230,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,6,0,0,0,breno-lopes,Breno Lopes,93988,Breno Henrique Vasconcelos Lopes,FOR,False,0,356,5,6,,B. Lopes,Atacante,0,0.0,Não Jogou,False
231,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,7,0,0,0,john,John,94044,John Victor Maciel Furtado,BOT,False,0,263,1,12,,John,Goleiro,0,0.0,Não Jogou,False
232,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,7,0,0,0,matheus-fernandes,Matheus Fernandes,94067,Matheus Fernandes Siqueira,RBB,False,0,280,4,6,,M. Fernandes,Meia,0,0.0,Não Jogou,False
233,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,6,0,0,0,maycon,Maycon,94154,Maycon de Andrade Barberan,COR,False,0,264,4,5,,Maycon,Meia,0,0.0,Não Jogou,False
234,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,6,0,0,0,diego-pituca,Diego Pituca,94156,Diego Cristiano Evaristo,SAN,False,0,277,4,6,,D. Pituca,Meia,0,0.0,Não Jogou,False
235,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,7,0,0,0,guilherme,Guilherme,94207,Guilherme Augusto Vieira dos Santos,SAN,False,0,277,5,5,,Guilherme,Atacante,0,0.0,Não Jogou,False
236,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,7,0,0,0,raphael-veiga,Raphael Veiga,94509,Raphael Cavalcante Veiga,PAL,False,0,275,4,21,,R. Veiga,Meia,0,0.0,Não Jogou,False
237,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,6,0,0,0,lucas-oliveira,Lucas Oliveira,94514,Lucas da Cruz Oliveira,VAS,False,0,267,3,4,,L. Oliveira,Zagueiro,0,0.0,Não Jogou,False
