Unnamed: 0,atletas.pontos_num,atletas.clube_id,atletas.posicao_id,atletas.media_num,atletas.entrou_em_campo,atletas.atleta_id,atletas.preco_num,atletas.foto,atletas.apelido_abreviado,atletas.status_id,atletas.slug,atletas.rodada_id,atletas.clube.id.full.name,atletas.variacao_num,atletas.nome,atletas.jogos_num,atletas.apelido,CA,DS,FC,FF,FS,G,I,A,FD,PS,FT,SG,V,CV,DE,DP,GS,PC,PP,GC,posicao_nome,ranking_rodada,percentil_pontuacao,classificacao_desempenho,destaque_rodada
105,0.0,276,4,1.86,False,81845,4.64,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Alisson,6,alisson,22,SAO,0.0,Alisson Euler de Freitas Castro,16,Alisson,4.0,9.0,15.0,4.0,19.0,,1.0,1.0,6.0,,,,,,,,,,,,Meia,0,0.0,Não Jogou,False
106,0.0,356,1,4.75,False,81881,8.76,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,J. Ricardo,6,joao-ricardo,22,FOR,0.0,João Ricardo Riedi,11,João Ricardo,,,,,,,,,,,,4.0,,,41.0,,18.0,,,1.0,Goleiro,0,0.0,Não Jogou,False
107,1.4,287,4,2.77,True,81952,4.51,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,W. Oliveira,7,willian-oliveira,22,VIT,0.01,Willian Osmar de Oliveira Silva,10,Willian Oliveira,4.0,17.0,16.0,6.0,10.0,,,,1.0,,,,,,,,,,,,Meia,220,33.43,Regular,False
108,0.0,2305,4,1.97,True,82407,4.41,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,C. Kim,6,chico-kim,22,MIR,-0.18,Francisco Hyun-Sol Kim,9,Chico Kim,1.0,8.0,4.0,1.0,10.0,,,,1.0,1.0,,,,,,,,,,,Meia,275,12.65,Regular,False
109,7.1,277,4,3.57,True,82455,7.6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Z. Rafael,7,ze-rafael,22,SAN,0.34,José Rafael Vivian,12,Zé Rafael,2.0,25.0,15.0,3.0,19.0,,,,,,,,,,,,,,,,Meia,65,80.72,Bom,False
110,-0.4,266,4,-0.4,True,82463,6.14,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Otávio,6,otavio,22,FLU,-0.86,Otávio Henrique Passos Santos,1,Otávio,,,3.0,,1.0,,,,,,,,,,,,,,,,Meia,318,4.07,Ruim,False
111,0.0,262,5,5.35,True,82627,8.63,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,L. Araújo,6,luiz-araujo,22,FLA,-1.39,Luiz de Araújo Guimarães Neto,19,Luiz Araújo,,25.0,14.0,9.0,12.0,4.0,1.0,2.0,6.0,,2.0,,,,,,,,,,Atacante,275,12.65,Regular,False
112,0.0,356,2,4.11,False,82628,8.33,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Tinga,6,tinga,22,FOR,0.0,Guilherme de Jesus da Silva,10,Tinga,1.0,11.0,6.0,3.0,4.0,1.0,,,,,,3.0,,,,,,,,,Lateral,0,0.0,Não Jogou,False
113,6.4,286,2,5.04,True,82639,7.58,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,M. Hermes,7,marcelo-hermes,22,JUV,0.6,Marcelo Gazella Hermes,9,Marcelo Hermes,2.0,13.0,9.0,5.0,6.0,,,2.0,3.0,,,2.0,,,,,,,,,Lateral,80,75.9,Bom,False
114,11.0,2305,2,6.59,True,82775,10.2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,L. Ramon,7,lucas-ramon,22,MIR,0.62,Lucas Ramon Batista Silva,18,Lucas Ramon,5.0,41.0,20.0,4.0,22.0,2.0,2.0,2.0,6.0,1.0,,4.0,,,,,,,,,Lateral,14,95.78,Muito Bom,True
